,player,pl_acc,pl_pps,min_start,min_mid,min_end,shots_count,shots_made,shots_freq,shots_acc,group
0,Jahlil Okafor,65.1,132.6,1,0.5,1,3,1,3.7,33.3,NOP
1,Jaxson Hayes,77.8,155.6,1,0.5,1,3,2,3.7,66.7,NOP
2,Nicolo Melli,36.4,88.6,1,0.5,1,1,1,1.2,100.0,NOP
3,Zion Williamson,54.3,111.4,1,0.5,1,2,1,2.5,50.0,NOP
4,Frank Jackson,44.7,105.3,1,0.5,1,0,0,0.0,0.0,NOP
5,Nickeil Alexander-Walker,22.2,57.8,1,0.5,1,0,0,0.0,0.0,NOP
6,Kenrich Williams,38.6,95.5,1,0.5,1,1,0,1.2,0.0,NOP
7,Derrick Favors,71.0,142.0,1,0.5,1,7,4,8.6,57.1,NOP
8,E'Twaun Moore,46.7,100.0,1,0.5,1,2,2,2.5,100.0,NOP
9,Lonzo Ball,41.0,107.1,1,0.5,1,11,2,13.6,18.2,NOP
10,JJ Redick,48.6,122.7,1,0.5,1,16,5,19.8,31.2,NOP
11,Josh Hart,38.7,103.2,1,0.5,1,2,0,2.5,0.0,NOP
12,Jrue Holiday,44.6,101.9,1,0.5,1,18,10,22.2,55.6,NOP
13,Brandon Ingram,48.2,109.0,1,0.5,1,15,7,18.5,46.7,NOP
14,Jahlil Okafor,65.1,132.6,2,1.5,2,0,0,0.0,0.0,NOP
15,Jaxson Hayes,77.8,155.6,2,1.5,2,5,2,4.8,40.0,NOP
16,Nicolo Melli,36.4,88.6,2,1.5,2,3,1,2.9,33.3,NOP
17,Zion Williamson,54.3,111.4,2,1.5,2,7,5,6.7,71.4,NOP
18,Frank Jackson,44.7,105.3,2,1.5,2,0,0,0.0,0.0,NOP
19,Nickeil Alexander-Walker,22.2,57.8,2,1.5,2,0,0,0.0,0.0,NOP
20,Kenrich Williams,38.6,95.5,2,1.5,2,2,0,1.9,0.0,NOP
21,Derrick Favors,71.0,142.0,2,1.5,2,11,8,10.5,72.7,NOP
22,E'Twaun Moore,46.7,100.0,2,1.5,2,3,2,2.9,66.7,NOP
23,Lonzo Ball,41.0,107.1,2,1.5,2,18,10,17.1,55.6,NOP
24,JJ Redick,48.6,122.7,2,1.5,2,13,7,12.4,53.8,NOP
25,Josh Hart,38.7,103.2,2,1.5,2,2,1,1.9,50.0,NOP
26,Jrue Holiday,44.6,101.9,2,1.5,2,20,7,19.0,35.0,NOP
27,Brandon Ingram,48.2,109.0,2,1.5,2,21,13,20.0,61.9,NOP
28,Jahlil Okafor,65.1,132.6,3,2.5,3,4,3,3.1,75.0,NOP
29,Jaxson Hayes,77.8,155.6,3,2.5,3,7,5,5.3,71.4,NOP
30,Nicolo Melli,36.4,88.6,3,2.5,3,2,1,1.5,50.0,NOP
31,Zion Williamson,54.3,111.4,3,2.5,3,4,3,3.1,75.0,NOP
32,Frank Jackson,44.7,105.3,3,2.5,3,1,0,0.8,0.0,NOP
33,Nickeil Alexander-Walker,22.2,57.8,3,2.5,3,0,0,0.0,0.0,NOP
34,Kenrich Williams,38.6,95.5,3,2.5,3,3,1,2.3,33.3,NOP
35,Derrick Favors,71.0,142.0,3,2.5,3,10,7,7.6,70.0,NOP
36,E'Twaun Moore,46.7,100.0,3,2.5,3,1,1,0.8,100.0,NOP
37,Lonzo Ball,41.0,107.1,3,2.5,3,16,4,12.2,25.0,NOP
38,JJ Redick,48.6,122.7,3,2.5,3,14,7,10.7,50.0,NOP
39,Josh Hart,38.7,103.2,3,2.5,3,1,0,0.8,0.0,NOP
40,Jrue Holiday,44.6,101.9,3,2.5,3,26,7,19.8,26.9,NOP
41,Brandon Ingram,48.2,109.0,3,2.5,3,42,14,32.1,33.3,NOP
42,Jahlil Okafor,65.1,132.6,4,3.5,4,1,0,0.9,0.0,NOP
43,Jaxson Hayes,77.8,155.6,4,3.5,4,1,1,0.9,100.0,NOP
44,Nicolo Melli,36.4,88.6,4,3.5,4,2,1,1.8,50.0,NOP
45,Zion Williamson,54.3,111.4,4,3.5,4,8,4,7.3,50.0,NOP
46,Frank Jackson,44.7,105.3,4,3.5,4,1,0,0.9,0.0,NOP
47,Nickeil Alexander-Walker,22.2,57.8,4,3.5,4,0,0,0.0,0.0,NOP
48,Kenrich Williams,38.6,95.5,4,3.5,4,6,1,5.5,16.7,NOP
